Capital City,Date,Residential Property Price($)
Perth,Mar-16,109.3
Perth,Jun-16,108
Perth,Sep-16,106.3
Perth,Dec-16,106.6
Perth,Mar-17,105.5
Perth,Jun-17,104.7
Perth,Sep-17,103.7
Perth,Dec-17,104.8
Perth,Mar-18,103.9
Perth,Jun-18,103.8
Perth,Sep-18,103.2
Perth,Dec-18,102.2
Perth,Mar-19,101.1
Perth,Jun-19,99.7
Perth,Sep-19,98.5
Perth,Dec-19,99.6
Perth,Mar-20,100.2
Perth,Jun-20,99.5
Perth,Sep-20,100.9
Perth,Dec-20,103.8
Perth,Mar-21,109.2
Perth,Jun-21,114.4
Perth,Sep-21,116.7
Perth,Dec-21,120.1
Hobart,Dec-11,101.9
Hobart,Mar-12,99.4
Hobart,Jun-12,98.2
Hobart,Sep-12,98.1
Hobart,Dec-12,98.4
Hobart,Mar-13,100
Hobart,Jun-13,100
Hobart,Sep-13,101
Hobart,Dec-13,103.3
Hobart,Mar-14,103.7
Hobart,Jun-14,104.1
Hobart,Sep-14,104.4
Hobart,Dec-14,105.2
Hobart,Mar-15,105.7
Hobart,Jun-15,105.7
Hobart,Sep-15,106.2
Hobart,Dec-15,108.9
Hobart,Mar-16,110.1
Hobart,Jun-16,110.9
Hobart,Sep-16,113.4
Hobart,Dec-16,118.5
Hobart,Mar-17,122.5
Hobart,Jun-17,124.7
Hobart,Sep-17,129
Hobart,Dec-17,134
Hobart,Mar-18,139.8
Hobart,Jun-18,144
Hobart,Sep-18,145.8
Hobart,Dec-18,146.8
Hobart,Mar-19,146.2
Hobart,Jun-19,146.9
Hobart,Sep-19,148.8
Hobart,Dec-19,152.8
Hobart,Mar-20,156.5
Hobart,Jun-20,155.8
Hobart,Sep-20,157.7
Hobart,Dec-20,162.6
Hobart,Mar-21,172.5
Hobart,Jun-21,183.3
Hobart,Sep-21,198.3
Hobart,Dec-21,211.1
Darwin,Dec-11,98.2
Darwin,Mar-12,100.8
Darwin,Jun-12,104.1
Darwin,Sep-12,105.5
Darwin,Dec-12,107.8
Darwin,Mar-13,109.6
Darwin,Jun-13,111
Darwin,Sep-13,111.3
Darwin,Dec-13,112.8
Darwin,Mar-14,114
Darwin,Jun-14,114.7
Darwin,Sep-14,114.4
Darwin,Dec-14,113.7
Darwin,Mar-15,113.5
Darwin,Jun-15,112.6
Darwin,Sep-15,112.1
Darwin,Dec-15,110.1
Darwin,Mar-16,107.9
Darwin,Jun-16,105.3
Darwin,Sep-16,104
Darwin,Dec-16,102.4
Darwin,Mar-17,101.5
Darwin,Jun-17,100.1
Darwin,Sep-17,97.5
Darwin,Dec-17,96
Darwin,Mar-18,94.9
Darwin,Jun-18,94
Darwin,Sep-18,93.2
Darwin,Dec-18,92.6
Darwin,Mar-19,90.9
Darwin,Jun-19,89.3
